WKT,id,AgencyName,Fullerton
"(-117.878472193291,33.9258862905858),(-117.959630976464,33.9287353414733),(-117.988036550575,33.8445186678524),(-117.871292762472,33.8478889307759),(-117.871292762472,33.8478889307759),(-117.871292762472,33.8478889307759),(-117.866610524981,33.8901355565686),(-117.878472193291,33.9258862905858)",0,Fullerton,","
"(-117.504195996256,34.0874396400304),(-117.570167164324,34.093061186042),(-117.652047778067,34.0886693851179),(-117.664775334607,34.0366531476041),(-117.660744941703,34.0085229723618),(-117.643138488489,33.9833737394977),(-117.614501486273,33.972819396921),(-117.581834091152,33.965078712984),(-117.528590479625,33.9601524563861),(-117.457528288941,33.957865168848),(-117.410648455684,33.9700046842814),(-117.396860269432,33.980383475467),(-117.380314445929,34.0428053804908),(-117.376071927082,34.0800607944142),(-117.38582972043,34.101141504407),(-117.397496647259,34.1102748483349),(-117.504195996256,34.0874396400304)",1,"Jurupa,Community,Services,District",","
"(-117.672623994474,34.0656526237608),(-117.621289516428,34.0667069632437),(-117.575894564767,34.0677612896073),(-117.537287643261,34.0568659512344),(-117.527529849913,34.0480783677714),(-117.519469064104,34.0058852904589),(-117.513105285834,33.9714120522471),(-117.512681033949,33.9552259145075),(-117.517347804681,33.9372768140387),(-117.522863079182,33.9256606734579),(-117.535166383837,33.9129867132425),(-117.55171220734,33.9055926992198),(-117.57801582419,33.9020715147274),(-117.593713143923,33.9006630002092),(-117.620016760774,33.9027757632606),(-117.656078170971,33.9084095420983),(-117.685775802899,33.9193239290068),(-117.706988397133,33.947835566832),(-117.712927923519,33.9932232769748),(-117.714200679173,34.0171388289442),(-117.715897686711,34.0551085074131),(-117.71123091598,34.0653011743511),(-117.672623994474,34.0656526237608)",2,"City,of,Eastvale",","
"(-117.258129903141,34.020303617895),(-117.262372421988,34.0529995267314),(-117.286979031299,34.0681127288131),(-117.348919806463,34.0786552271104),(-117.393466254354,34.0790066211233),(-117.415951604242,34.0754926153881),(-117.45922529648,34.0751412067961),(-117.498680721755,34.0621380640698),(-117.514378041488,34.0445630793491),(-117.518620560335,34.0312036543967),(-117.519469064104,34.0192487013552),(-117.51819630845,34.008698814909),(-117.515226545257,33.9967406922622),(-117.513529537719,33.9840773157466),(-117.510559774526,33.9682454415706),(-117.510559774526,33.9552259145075),(-117.51183253018,33.9429083118389),(-117.514802293373,33.9295328963621),(-117.513529537719,33.9126346318815),(-117.495286706677,33.9010151310202),(-117.435467190938,33.8985501848036),(-117.375223423313,33.9024236397212),(-117.324313197151,33.9158033117663),(-117.281039504914,33.9235484776783),(-117.25261462864,33.9309409337722),(-117.249644865447,33.9327009477993),(-117.258129903141,34.020303617895)",3,"City,of,Jurupa,Valley",","
